date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_confidence_mean,latest_event_type,latest_event_title
2025-12-17,000630,15,15,1,0,0,0.013333333333333334,0.3686666666666666,general_news,子公司管理办法
2025-12-18,000630,15,15,1,0,0,0.01333333333333333,0.3686666666666666,general_news,子公司管理办法
2025-12-19,000630,15,15,1,0,0,0.013333333333333334,0.3686666666666666,general_news,子公司管理办法
2025-12-22,000630,15,15,1,0,0,0.013333333333333334,0.3686666666666666,general_news,子公司管理办法
2025-12-23,000630,0,15,1,0,0,0.013333333333333338,0.3686666666666666,general_news,子公司管理办法
2025-12-24,000630,0,15,1,0,0,0.01333333333333333,0.3686666666666666,general_news,子公司管理办法
2025-12-25,000630,0,15,1,0,0,0.013333333333333338,0.3686666666666666,general_news,子公司管理办法
2025-12-26,000630,0,15,1,0,0,0.013333333333333334,0.3686666666666666,general_news,子公司管理办法
2025-12-29,000630,0,15,1,0,0,0.01333333333333333,0.3686666666666666,general_news,子公司管理办法
2025-12-30,000630,2,17,1,0,0,-0.06190478741565592,0.3994117647058823,shareholder_change,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年第三次临时股东会的法律意见书
2025-12-31,000630,3,18,1,0,0,-0.048909913215569645,0.3966666666666666,general_news,关于选举第十届董事会职工董事的公告
2026-01-01,000630,3,18,1,0,0,-0.04890991321556965,0.3966666666666666,general_news,关于选举第十届董事会职工董事的公告
2026-01-02,000630,3,18,1,0,0,-0.048909913215569645,0.3966666666666666,general_news,关于选举第十届董事会职工董事的公告
2026-01-05,000630,2,19,1,0,0,-0.03423138153985803,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-06,000630,1,19,1,0,0,-0.03423138153985804,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-07,000630,1,19,1,0,0,-0.03423138153985804,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-08,000630,1,19,1,0,0,-0.03423138153985803,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-09,000630,1,19,1,0,0,-0.03423138153985803,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-12,000630,0,19,1,0,0,-0.03423138153985804,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-13,000630,0,19,1,0,0,-0.03423138153985803,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-14,000630,0,19,1,0,0,-0.03423138153985804,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-15,000630,0,19,1,0,0,-0.034231381539858045,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-16,000630,0,19,1,0,0,-0.03423138153985804,0.3942105263157894,general_news,关于控股子公司项目延期的公告
2026-01-19,000630,0,4,0,0,0,-0.054446624643242465,0.49,general_news,关于控股子公司项目延期的公告
2026-01-20,000630,0,4,0,0,0,-0.05444662464324246,0.49,general_news,关于控股子公司项目延期的公告
2026-01-21,000630,0,4,0,0,0,-0.054446624643242465,0.49,general_news,关于控股子公司项目延期的公告
2026-01-22,000630,0,4,0,0,0,-0.05444662464324246,0.49,general_news,关于控股子公司项目延期的公告
2026-01-23,000630,0,4,0,0,0,-0.05444662464324248,0.49,general_news,关于控股子公司项目延期的公告
2026-01-26,000630,0,4,0,0,0,-0.05444662464324246,0.49,general_news,关于控股子公司项目延期的公告
2026-01-27,000630,1,5,0,0,0,-0.004991005088315025,0.4619999999999999,general_news,股票交易异常波动公告
2026-01-28,000630,1,5,0,0,0,-0.004991005088315025,0.4619999999999999,general_news,股票交易异常波动公告
